id,area,competition_name,season_start_date,season_end_date,winner
2055,England,FA Cup,2019-08-10,2019-08-10,None
2056,England,FA Community Shield,2019-08-04,2019-08-04,None
2030,England,League One,2019-08-03,2020-05-26,None
2053,England,National League,2019-08-03,2020-05-30,None
2139,England,Football League Cup,2019-08-12,2020-03-01,None
2016,England,Championship,2019-08-02,2020-05-27,None
2054,England,League Two,2019-08-03,2020-05-25,None
2057,Estonia,Meistriliiga,2019-03-08,2019-11-09,None
2007,Europe,WC Qualification,2016-09-04,2017-11-14,None
2018,Europe,European Championship,2020-06-12,2020-07-12,None
2146,Europe,UEFA Europa League,2019-06-27,2020-05-27,None
2001,Europe,UEFA Champions League,2019-06-25,2020-05-30,None
2058,Europe,UEFA Women's EURO,2017-07-16,2017-08-06,None
2059,Finland,Suomen Cup,2019-01-18,2019-08-31,None
2031,Finland,Veikkausliiga,2019-04-01,2019-10-31,None
2144,France,Playoffs 2/3,2018-05-22,2018-05-27,None
2142,France,Ligue 2,2019-07-26,2020-05-31,None
2138,France,Coupe de France,2018-11-17,2019-04-27,None
2015,France,Ligue 1,2019-08-09,2020-05-31,None
2135,France,Coupe de la Ligue,2019-08-13,2020-04-04,None
2136,France,Trophée des Champions,2019-08-03,2019-08-03,None
2143,France,Playoffs 1/2,2018-05-23,2018-05-27,None
2002,Germany,Bundesliga,2019-08-16,2020-05-16,None
2133,Germany,Frauen Bundesliga,2017-09-02,2018-06-03,VfL Wolfsburg
2011,Germany,DFB-Pokal,2019-08-09,2020-05-23,None
2134,Germany,DFL Super Cup,2019-08-03,2019-08-03,None
2129,Germany,Regionalliga,2019-07-11,2020-05-30,None
2004,Germany,2. Bundesliga,2019-07-26,2020-05-26,None
2140,Germany,3. Liga,2019-07-11,2020-05-26,None
2131,Greece,Greek Cup,2019-08-25,2020-05-23,None
2132,Greece,Super League,2019-08-24,2020-05-30,None
2128,Hungary,NB I,2019-08-03,2020-05-16,None
2130,Hungary,Magyar Kupa,2019-09-22,2019-05-01,None
2127,Iceland,Úrvalsdeild,2019-04-26,2019-09-28,None
2126,India,I-League,2018-10-26,2019-03-03,None
2125,Israel,Ligat ha'Al,2019-08-24,2020-05-24,None
2124,Italy,Supercoppa,2019-01-12,2019-01-12,None
2121,Italy,Serie B,2019-08-24,2020-06-09,None
2019,Italy,Serie A,2019-08-24,2020-05-24,None
2122,Italy,Coppa Italia,2019-08-03,2020-05-13,None
2123,Italy,Serie C,2019-08-24,2020-06-06,None
2120,Japan,Super Cup,2019-02-16,2019-02-16,None
2117,Japan,J. League Division 2,2019-02-24,2019-11-24,None
2118,Japan,J.League Cup,2019-03-06,2019-10-26,None
2119,Japan,J. League,2019-02-22,2019-12-07,None
2116,Latvia,Virslīga,2019-03-09,2019-11-09,None
2115,Lithuania,A Lyga,2019-03-02,2019-10-26,None
2114,Malta,Premier League,2019-08-23,2020-04-25,None
2112,Mexico,SuperCopa MX,2019-07-14,2019-07-14,None
2113,Mexico,Liga MX,2019-07-20,2020-05-27,None
2111,Mexico,Copa MX,2019-07-30,2020-04-15,None
2003,Netherlands,Eredivisie,2019-08-09,2020-05-25,None
2109,Netherlands,KNVB Beker,2019-08-17,2020-05-05,None
2110,Netherlands,Johan Cruijff Schaal,2019-07-27,2019-07-27,None
2005,Netherlands,Jupiler League,2019-08-09,2020-05-01,None
2108,Northern Ireland,League Cup,2019-08-10,2020-02-15,None
2107,Northern Ireland,Premiership,2019-08-10,2020-05-11,None
2104,Norway,Playoffs 1/2,2017-11-29,2017-12-02,None
2105,Norway,1. divisjon,2019-03-30,2019-11-27,None
2106,Norway,Tippeligaen,2019-03-30,2019-11-30,None
2103,Oceania,WC Qualification,2015-08-31,2017-09-05,None
2102,Panama,Liga Panameña de Fútbol,2019-07-28,2020-06-02,None
2101,Peru,Primera División,2019-02-17,2019-11-24,None
2099,Poland,Superpuchar Polski,2019-07-13,2020-07-13,None
2100,Poland,Puchar Polski,2019-08-07,2020-05-02,None
2017,Portugal,Primeira Liga,2019-08-10,2020-05-19,None
2098,Portugal,Taça de Portugal,2019-09-01,2020-05-24,None
2096,Portugal,Liga2 Cabovisão,2019-08-11,2020-05-17,None
2097,Portugal,Supertaça Cândido de Oliveira,2019-08-03,2019-08-03,None
2095,Republic of Ireland,Premier Division,2019-02-15,2019-10-27,None
2094,Romania,Liga I,2019-07-13,2020-05-30,None
2092,Romania,Liga II,2019-08-02,2020-05-31,None
2093,Romania,Supercupa României,2019-07-13,2019-07-13,None
2137,Russia,RFPL,2019-07-28,2020-06-02,None
2088,Russia,FNL,2019-07-07,2020-05-16,None
2089,Russia,Russian Cup,2019-07-20,2020-05-22,None
2091,Russia,Russian Super Cup,2019-07-06,2019-07-06,None
2090,Russia,Playoffs 1/2,2018-05-17,2018-05-20,None
2084,Scotland,Premier League,2019-08-03,2020-05-30,None
2085,Scotland,Championship,2019-08-03,2020-05-02,None
2086,Scotland,Playoffs 2/3,2018-05-02,2018-05-13,None
2087,Scotland,Scottish Cup,2019-08-10,2020-05-09,None
2083,South Africa,ABSA Premiership,2019-08-04,2020-05-11,None
2080,South America,Copa America,2019-06-14,2019-07-07,None
2081,South America,Copa Sudamericana,2019-02-06,2019-11-09,None
2082,South America,WC Qualification,2020-03-23,2021-11-16,None
2014,Spain,Primera Division,2019-08-16,2020-05-24,None
2078,Spain,Supercopa de España,2020-01-08,2020-01-12,None
2077,Spain,Segunda División,2019-08-17,2020-06-23,None
2079,Spain,Copa del Rey,2019-11-13,2020-04-18,None
2075,Sweden,Playoffs 2/3,2017-11-08,2017-11-11,None
2076,Sweden,Playoffs 1/2,2017-11-15,2017-11-19,None
2073,Sweden,Allsvenskan,2019-03-31,2019-11-02,None
2074,Sweden,Superettan,2019-03-31,2019-11-02,None
2071,Switzerland,Schweizer Pokal,2019-08-20,2020-05-24,None
2072,Switzerland,Super League,2019-07-20,2020-05-28,None
2068,Turkey,1. Lig,2019-08-18,2020-05-17,None
2069,Turkey,TFF Süper Kupa,2019-08-07,2019-08-07,None
2070,Turkey,Süper Lig,2019-08-18,2020-05-17,None
2067,Ukraine,Superkubok Ukrainy,2019-07-21,2019-07-21,None
2064,Ukraine,Premier Liha,2019-07-28,2020-05-21,None
2065,Ukraine,Kubok Ukrainy,2019-08-07,2020-05-13,None
2066,Ukraine,Playoffs 1/2,2018-05-23,2018-05-27,None
2145,United States,MLS,2019-03-02,2019-11-10,None
2063,Uruguay,Primera División,2019-02-16,2019-11-30,None
2062,Venezuela,Primera División,2019-01-25,2019-12-07,None
2061,Vietnam,V-League,2019-02-23,2019-12-07,None
2060,Wales,Welsh Premier League,2019-08-16,2020-05-30,None
2000,World,FIFA World Cup,2018-06-14,2018-07-15,France
